landmark_0_x,landmark_0_y,landmark_1_x,landmark_1_y,landmark_2_x,landmark_2_y,landmark_3_x,landmark_3_y,landmark_4_x,landmark_4_y,landmark_5_x,landmark_5_y,landmark_6_x,landmark_6_y,landmark_7_x,landmark_7_y,landmark_8_x,landmark_8_y,landmark_9_x,landmark_9_y,landmark_10_x,landmark_10_y,landmark_11_x,landmark_11_y,landmark_12_x,landmark_12_y,landmark_13_x,landmark_13_y,landmark_14_x,landmark_14_y,landmark_15_x,landmark_15_y,landmark_16_x,landmark_16_y,landmark_17_x,landmark_17_y,landmark_18_x,landmark_18_y,landmark_19_x,landmark_19_y,landmark_20_x,landmark_20_y,class
0,0,-0.070106844,-0.080195973,-0.154939431,-0.256943205,-0.172586887,-0.43036756,-0.11238601,-0.493744044,-0.075458616,-0.545890719,-0.080120943,-0.770728494,-0.08426402,-0.894273505,-0.077622188,-1,-0.005194624,-0.509571632,-0.048534011,-0.645452029,-0.07158082,-0.43138148,-0.051316673,-0.352360118,0.061759234,-0.456165135,0.011409427578223900,-0.53322803,-0.01256104,-0.336938671,0.011782691293978200,-0.289187459,0.1275939801686870,-0.382163454,0.083691079,-0.472310939,0.050685442,-0.340138408,0.063669213,-0.295121145,1
0,0,-0.07940394,-0.09745568,-0.159985542,-0.271938241,-0.182298682,-0.438112625,-0.126528603,-0.539000966,-0.093711471,-0.539805789,-0.096201647,-0.753151857,-0.101853374,-0.890186411,-0.093875748,-1,-0.030240973,-0.515894166,-0.077650422,-0.66453304,-0.100682883,-0.453036453,-0.077770488,-0.371841068,0.035600078027770800,-0.474593972,-0.018429459,-0.571011833,-0.039035547,-0.377235291,-0.012946,-0.322297648,0.10315161884890400,-0.410425483,0.053845076,-0.499115977,0.02614056,-0.371268613,0.0420465,-0.324699475,1
0,0,-0.080750647,-0.099889444,-0.162443235,-0.271343132,-0.187114575,-0.4350172,-0.14351962,-0.523636445,-0.093170279,-0.541492212,-0.098442092,-0.753048122,-0.109793765,-0.888810041,-0.107423195,-1,-0.030548575,-0.516740922,-0.081229605,-0.672847876,-0.104919846,-0.459184839,-0.08373615,-0.374837917,0.034291079,-0.478809877,-0.025851498,-0.56645783,-0.042414203,-0.371036119,-0.013382677,-0.318467788,0.10126271615825100,-0.418871261,0.042110898,-0.500937075,0.018013624087733100,-0.369680011,0.039353506,-0.32854204,1
0,0,-0.081175409,-0.102205211,-0.165436791,-0.271644286,-0.190243933,-0.437683011,-0.14117544,-0.533657477,-0.09564554,-0.541511907,-0.099606194,-0.75247669,-0.110961663,-0.887673521,-0.108495802,-1,-0.032314655,-0.515529809,-0.084576431,-0.670269731,-0.104459668,-0.447918471,-0.079802701,-0.366529264,0.032741728,-0.477094002,-0.025918736,-0.564373171,-0.041917098,-0.364313482,-0.01225622,-0.31337908,0.10057636506028000,-0.416980488,0.043751365,-0.503430235,0.019054226281878700,-0.365994768,0.039767446157515100,-0.320796188,1
0,0,-0.077738519,-0.103957094,-0.160864773,-0.272131574,-0.188903784,-0.431247542,-0.143580689,-0.530577463,-0.088881874,-0.541732825,-0.096089635,-0.752962024,-0.109252729,-0.889295464,-0.108320456,-1,-0.028480612,-0.513517591,-0.083852326,-0.666650782,-0.106618708,-0.447753949,-0.082639199,-0.368860548,0.036059687,-0.474105195,-0.027961788,-0.564182521,-0.044052807,-0.367088923,-0.012287126,-0.322501855,0.10221649280413400,-0.410983032,0.041533036,-0.498859921,0.016141805,-0.362765683,0.04008067,-0.319663719,1
0,0,-0.078402861,-0.101293946,-0.160278535,-0.269562025,-0.190753342,-0.429198998,-0.146804773,-0.519731056,-0.088940084,-0.54106499,-0.094784528,-0.753310755,-0.107151886,-0.887937939,-0.107438963,-1,-0.028558883,-0.515608367,-0.085638398,-0.672433662,-0.107241663,-0.457175302,-0.084738094,-0.37419233,0.036047422,-0.477307762,-0.02765597,-0.565142972,-0.042087302,-0.367564799,-0.011514031,-0.31597159,0.10314257403897100,-0.416039903,0.045317329688770700,-0.5014212,0.019178469421640600,-0.365015554,0.039120266,-0.316943999,1
0,0,-0.080163138,-0.101340326,-0.163347917,-0.272847479,-0.191778693,-0.439443534,-0.142237962,-0.521745201,-0.09465622,-0.544778646,-0.107186054,-0.759475839,-0.122259963,-0.89031664,-0.123543797,-1,-0.03141311,-0.519827139,-0.086952239,-0.681307192,-0.105930712,-0.46218517,-0.08148594,-0.378694602,0.035359204721082900,-0.479385964,-0.028141758,-0.566651605,-0.042745413,-0.36727856,-0.011873332,-0.315263511,0.10407728176693100,-0.415777821,0.048191285412738600,-0.501945649,0.021723192255844200,-0.367114397,0.040829649148526500,-0.319608255,1
0,0,-0.077169088,-0.106746024,-0.158052123,-0.275624011,-0.183114562,-0.44522455,-0.124174011,-0.516899136,-0.092371683,-0.548700524,-0.106062341,-0.763023495,-0.124762367,-0.890349336,-0.130873492,-1,-0.028267308,-0.524881331,-0.078361211,-0.681153577,-0.095540052,-0.461903673,-0.070506746,-0.38058264,0.039284353,-0.479160475,-0.016828655,-0.570920271,-0.034661334,-0.371125346,-0.006058349,-0.318190481,0.10802543085622300,-0.406528327,0.058263972,-0.499315978,0.028664932674028200,-0.368445719,0.044575494,-0.319141578,1
0,0,-0.077319822,-0.104509241,-0.157955967,-0.273360874,-0.180769554,-0.442527526,-0.123593115,-0.52291441,-0.095276561,-0.542441709,-0.112169676,-0.75860748,-0.130736177,-0.887941414,-0.136623209,-1,-0.03041844,-0.517897098,-0.0739836,-0.678484668,-0.090901552,-0.460308315,-0.06854654,-0.379349298,0.037192024412313200,-0.472273889,-0.014331682,-0.568538629,-0.032775123,-0.368659055,-0.005853443,-0.315906698,0.10586386783214400,-0.400809604,0.058496655,-0.494561649,0.028782309713251500,-0.363722835,0.044245541,-0.315965871,1
0,0,-0.075301181,-0.102081265,-0.153973932,-0.271116608,-0.176263024,-0.4402551,-0.12234584,-0.525023253,-0.089798755,-0.537167908,-0.106860605,-0.752618006,-0.12703704,-0.886981196,-0.134481427,-1,-0.025817766,-0.513839506,-0.069934224,-0.680621028,-0.087285609,-0.463114493,-0.06438014,-0.380702085,0.041530111,-0.46871235,-0.010174164,-0.564568457,-0.029270044,-0.366251403,-0.00267077,-0.315216196,0.10956147289649200,-0.39736181,0.060681133,-0.48705957,0.031174467027604800,-0.358607626,0.047601583,-0.313001057,1
0,0,-0.076111028,-0.099659261,-0.152847756,-0.271219052,-0.173842294,-0.439547581,-0.114062245,-0.506445581,-0.086847776,-0.539186951,-0.105404812,-0.755279231,-0.124644145,-0.888299521,-0.129740201,-1,-0.019308463,-0.515600212,-0.060303894,-0.684479907,-0.081652115,-0.469009651,-0.062760386,-0.376921628,0.050383799235820500,-0.467594842,0.00111089,-0.557114045,-0.022587764,-0.363407655,-0.000666984,-0.30535474,0.11975045065152400,-0.394617124,0.07361633,-0.47736249,0.040326345,-0.353664778,0.051025638244567700,-0.30699743,1
0,0,-0.072461438,-0.096881512,-0.148307517,-0.265638042,-0.168120796,-0.431652431,-0.107324846,-0.508068993,-0.084549771,-0.536020293,-0.102125768,-0.755017733,-0.12082176,-0.888272341,-0.125276104,-1,-0.016459987,-0.510304096,-0.052987562,-0.676100071,-0.076074603,-0.458109377,-0.057589921,-0.369932986,0.053112649,-0.461042456,0.007349686,-0.550092163,-0.017285982,-0.355218654,0.005443839,-0.302127655,0.12263010839605300,-0.387733524,0.078352929,-0.473156874,0.046217606,-0.348858764,0.058824026876559200,-0.304768614,1
0,0,-0.071008287,-0.097028449,-0.145986474,-0.268132301,-0.159815799,-0.439092708,-0.095145698,-0.50998866,-0.07984489,-0.53109979,-0.095547916,-0.752313052,-0.112965566,-0.885654792,-0.117139942,-1,-0.012918688,-0.504335248,-0.04520808,-0.674714054,-0.070608611,-0.460049322,-0.054110947,-0.374557676,0.055261209,-0.455478039,0.015163270700123900,-0.55353316,-0.011910975,-0.35794506,0.010174961,-0.30275176,0.12387982165996500,-0.383077321,0.085033186,-0.472335067,0.051725237,-0.347429881,0.06405421,-0.302433456,1
0,0,-0.072701799,-0.096031162,-0.150081629,-0.268596673,-0.163810581,-0.442148878,-0.100129498,-0.510237782,-0.082512905,-0.536848857,-0.100571127,-0.757235405,-0.118427573,-0.888781055,-0.122425695,-1,-0.01472764,-0.509676301,-0.050600708,-0.676402332,-0.075013456,-0.459127837,-0.057222296,-0.376664851,0.054514956,-0.460330849,0.010276195810775000,-0.552988106,-0.015609474,-0.35683554,0.007609257,-0.304558336,0.12393969109800400,-0.387524638,0.081188918,-0.473403204,0.048068386,-0.347515983,0.060982363844340600,-0.304231761,1
0,0,-0.069658531,-0.097221082,-0.145506193,-0.270121871,-0.157428819,-0.44018861,-0.091418174,-0.51106838,-0.080296899,-0.5345396,-0.096529198,-0.755696292,-0.112549621,-0.887005039,-0.115413843,-1,-0.012767008,-0.5079225,-0.045801016,-0.675068054,-0.069857922,-0.460130106,-0.053110835,-0.373230433,0.055819587,-0.458017073,0.015807432982648700,-0.551769928,-0.01122725,-0.358505713,0.009736986,-0.302974548,0.12415142481113400,-0.3846596,0.088244499,-0.476263936,0.053114253,-0.352718932,0.062220815,-0.305905877,1
0,0,-0.070106006,-0.101888923,-0.144600336,-0.272024667,-0.15499194,-0.440767718,-0.091307862,-0.511904532,-0.080660823,-0.538387446,-0.094146915,-0.756182969,-0.109962812,-0.888287881,-0.113095708,-1,-0.012900397,-0.508356969,-0.04580686,-0.678039859,-0.07244274,-0.460499329,-0.055769938,-0.376752716,0.055733152,-0.45836768,0.015263006810277500,-0.55337574,-0.012634936,-0.359136463,0.009384533,-0.305032346,0.12486164849968500,-0.385151263,0.088203495,-0.477167266,0.053074194,-0.353096692,0.063182644,-0.307452677,1
0,0,-0.071577682,-0.101208575,-0.14529504,-0.275994547,-0.155913872,-0.44856584,-0.091878285,-0.515324778,-0.079787839,-0.533590438,-0.094630156,-0.753493049,-0.113296236,-0.886163933,-0.118225541,-1,-0.013751364,-0.503859724,-0.045780375,-0.679309102,-0.072067585,-0.461856481,-0.055200039,-0.376746359,0.053580985,-0.455247562,0.013105223400919400,-0.557363433,-0.01398913,-0.361408494,0.008899041,-0.306011453,0.12195487104425900,-0.385174267,0.085019063,-0.480828951,0.050347789,-0.354036641,0.061471334,-0.307583731,1
0,0,-0.069267227,-0.100802352,-0.143603022,-0.27864852,-0.154094596,-0.448411531,-0.089803717,-0.517186944,-0.078383495,-0.536937073,-0.093187112,-0.75716643,-0.108330505,-0.886882975,-0.11080607,-1,-0.011522998,-0.508700967,-0.045165542,-0.676918711,-0.069313264,-0.46182672,-0.051532811,-0.376020488,0.056614500559824500,-0.459508911,0.015341614271659800,-0.557444863,-0.011161523,-0.361979554,0.011350507393763000,-0.305361094,0.12526661167935400,-0.387514603,0.087997294,-0.481514245,0.052854749,-0.356656392,0.062807519,-0.309267386,1
0,0,-0.070047837,-0.100564671,-0.145637343,-0.278297204,-0.155222531,-0.449467802,-0.091029521,-0.515324635,-0.078364833,-0.537469943,-0.092571864,-0.756693842,-0.108823593,-0.887736924,-0.111468236,-1,-0.012313253,-0.508022866,-0.04699136,-0.677243803,-0.07318132,-0.460357781,-0.0540837,-0.377240567,0.055394041546553800,-0.45910186,0.012891138,-0.554854652,-0.014644372,-0.360735726,0.009781908,-0.308299121,0.12368776817427100,-0.387800294,0.085661342,-0.479839051,0.050255527,-0.355311592,0.062161097,-0.310566104,1
0,0,-0.069869827,-0.100029729,-0.146365153,-0.276066546,-0.157191364,-0.448115349,-0.09171334,-0.517275743,-0.078560049,-0.541485301,-0.091787316,-0.759727363,-0.107326281,-0.88869735,-0.10855054,-1,-0.010867666,-0.511883878,-0.047349328,-0.676392522,-0.073223336,-0.456459131,-0.052647222,-0.378128699,0.058119727731915000,-0.462833332,0.014037921328255000,-0.554729451,-0.0134656,-0.357111734,0.011839749,-0.305992656,0.12717318722016100,-0.391514024,0.087211306,-0.479279633,0.052228710992275000,-0.353801731,0.065143815,-0.309549488,1
0,0,-0.068837136,-0.101096495,-0.143101589,-0.279931008,-0.152560248,-0.450939765,-0.088845591,-0.518722024,-0.075377448,-0.539283467,-0.088363111,-0.758168957,-0.104263685,-0.887708209,-0.107910797,-1,-0.009365234,-0.50994008,-0.043389666,-0.678197603,-0.069453833,-0.464237505,-0.051901495,-0.379320985,0.057983158077263700,-0.460361946,0.015833758,-0.556734375,-0.011364676,-0.363093274,0.011855416465602800,-0.309841347,0.12621967895034500,-0.38845419,0.088475909,-0.480017241,0.053441411,-0.356015436,0.064645406,-0.311919155,1
0,0,-0.069328057,-0.10221786,-0.142951291,-0.27806633,-0.154103278,-0.450226835,-0.088708321,-0.516742206,-0.074298009,-0.538521327,-0.085525158,-0.758293549,-0.100772183,-0.887533737,-0.103455362,-1,-0.008183208,-0.509186515,-0.042925028,-0.673315633,-0.068076603,-0.456920394,-0.048175832,-0.37607462,0.059122129,-0.46017638,0.017144475160448200,-0.552900193,-0.010270499,-0.358948333,0.014471740917380200,-0.306677683,0.12689815827786000,-0.388883307,0.089525823,-0.476715909,0.054078476,-0.35455652,0.066099535,-0.310981113,1
0,0,-0.070109598,-0.101710836,-0.144632184,-0.279842584,-0.154929648,-0.44968536,-0.089687548,-0.517725014,-0.07371601,-0.538693905,-0.083582883,-0.759089743,-0.095350289,-0.887309715,-0.095166234,-1,-0.007745636,-0.509749033,-0.041811864,-0.672301602,-0.066069798,-0.4597017,-0.046817716,-0.379757978,0.059574428626870200,-0.460643319,0.017248078,-0.552610439,-0.009268417,-0.358919383,0.014734592,-0.30743471,0.1276292432977160,-0.389717799,0.089208828,-0.476621702,0.054292089,-0.353634321,0.065884638,-0.310466216,1
0,0,-0.070242451,-0.105378272,-0.143818481,-0.288532049,-0.149990853,-0.463995636,-0.0810057,-0.525806343,-0.068987726,-0.544701406,-0.078761328,-0.758736528,-0.09100313,-0.886264434,-0.090808715,-1,-0.003651967,-0.511592453,-0.037687477,-0.663281199,-0.061553864,-0.451571553,-0.040798333,-0.393705097,0.063571468,-0.459922487,0.023024610075033500,-0.551733717,-0.004785513,-0.360720337,0.020198612,-0.322871608,0.12956495818025500,-0.387137572,0.093572654,-0.476719724,0.056012163711867400,-0.35269779,0.068220582,-0.310931649,1
0,0,-0.072155292,-0.099894056,-0.143184498,-0.282993087,-0.140071429,-0.45274904,-0.066967138,-0.519249577,-0.063845986,-0.548730634,-0.065931358,-0.756997939,-0.071198431,-0.884459146,-0.066645882,-1,0.001017483,-0.51016035,-0.038014258,-0.625522464,-0.061115015,-0.419830278,-0.036495125,-0.376515367,0.065608486,-0.45401011,0.024283937530521900,-0.51846804,-0.007608745,-0.337775491,0.016149587797204200,-0.317680742,0.1292206569761740,-0.377880044,0.093316608,-0.45670537,0.053303684,-0.336310513,0.065303763,-0.303409092,1
